"PUPIL","ACT","OBSERVED","ORDERED","EXPECTATION","VARIANCE","ZSCORE","RESIDUAL","PERSON MEASURE","ITEM MEASURE","MEASURE DIFFERENCE","LOG(PROBABILITY)","PREDICTED PERSON MEASURE","PREDICTED ITEM MEASURE","MORE PROBABLE RESPONSE","CODE","PERSON LABEL","ITEM LABEL"
1,22,1,1,1.236,.453,-.350,-.236,.493,-.009,.502,-.710,-.009,.493,1,"01","ROSSNER, MARC DANIEL","FIND OUT WHAT ANIMALS EAT"
1,23,0,0,.340,.301,-.619,-.340,.493,1.947,-1.454,-.359,.154,2.285,0,"00","ROSSNER, MARC DANIEL","WATCH A RAT"
1,24,2,2,1.415,.446,.877,.585,.493,-.320,.813,-.662,1.496,-1.324,2,"02","ROSSNER, MARC DANIEL","FIND OUT WHAT FLOWERS LIVE ON"
1,25,0,0,1.034,.470,-1.507,-1.034,.493,.421,.071,-1.519,-1.614,2.528,1,"00","ROSSNER, MARC DANIEL","TALK W/FRIENDS ABOUT PLANTS"
2,1,2,2,1.995,.005,.073,.005,5.983,-.892,6.875,-.005,1.879,3.213,2,"02","ROSSNER, LAWRENCE F.","WATCH BIRDS"
2,2,2,2,1.998,.002,.043,.002,5.983,-.611,6.594,-.002,1.065,4.308,2,"02","ROSSNER, LAWRENCE F.","READ BOOKS ON ANIMALS"
2,3,2,2,1.990,.010,.101,.010,5.983,.279,5.704,-.010,2.577,3.685,2,"02","ROSSNER, LAWRENCE F.","READ BOOKS ON PLANTS"
2,4,2,2,1.946,.051,.238,.054,5.983,1.802,4.181,-.055,4.260,3.525,2,"02","ROSSNER, LAWRENCE F.","WATCH GRASS CHANGE"
2,5,2,2,1.962,.037,.196,.038,5.983,2.189,3.794,-.038,4.020,4.151,2,"02","ROSSNER, LAWRENCE F.","FIND BOTTLES AND CANS"
2,6,2,2,1.991,.009,.094,.009,5.983,.164,5.819,-.009,2.433,3.714,2,"02","ROSSNER, LAWRENCE F.","LOOK UP STRANGE ANIMAL OR PLANT"
2,7,2,2,1.984,.015,.125,.016,5.983,.994,4.989,-.016,3.050,3.926,2,"02","ROSSNER, LAWRENCE F.","WATCH ANIMAL MOVE"
2,8,2,2,1.962,.037,.198,.038,5.983,1.641,4.342,-.039,3.923,3.701,2,"02","ROSSNER, LAWRENCE F.","LOOK IN SIDEWALK CRACKS"
2,9,2,2,1.991,.008,.092,.009,5.983,.600,5.383,-.009,2.492,4.091,2,"02","ROSSNER, LAWRENCE F.","LEARN WEED NAMES"
2,10,2,2,1.999,.001,.035,.001,5.983,-1.570,7.553,-.001,.473,3.940,2,"02","ROSSNER, LAWRENCE F.","LISTEN TO BIRD SING"
2,11,2,2,1.998,.002,.050,.002,5.983,-1.372,7.355,-.002,1.135,3.476,2,"02","ROSSNER, LAWRENCE F.","FIND WHERE ANIMAL LIVES"
2,12,2,2,1.999,.001,.028,.001,5.983,-1.139,7.122,-.001,-.041,4.884,2,"02","ROSSNER, LAWRENCE F.","GO TO MUSEUM"
2,13,2,2,1.999,.001,.026,.001,5.983,-.896,6.879,-.001,.437,4.650,2,"02","ROSSNER, LAWRENCE F.","GROW GARDEN"
2,14,2,2,1.991,.009,.096,.009,5.983,.294,5.689,-.009,2.489,3.788,2,"02","ROSSNER, LAWRENCE F.","LOOK AT PICTURES OF PLANTS"
2,15,2,2,1.997,.003,.056,.003,5.983,-.559,6.542,-.003,1.448,3.976,2,"02","ROSSNER, LAWRENCE F.","READ ANIMAL STORIES"
2,16,2,2,1.986,.014,.120,.014,5.983,.468,5.515,-.014,2.899,3.553,2,"02","ROSSNER, LAWRENCE F.","MAKE A MAP"
2,17,2,2,1.994,.006,.080,.006,5.983,.045,5.938,-.006,2.142,3.887,2,"02","ROSSNER, LAWRENCE F.","WATCH WHAT ANIMALS EAT"
2,18,2,2,2.000,.000,.012,.000,5.983,-2.256,8.239,.000,-.979,4.706,2,"02","ROSSNER, LAWRENCE F.","GO ON PICNIC"
2,19,2,2,2.000,.000,.019,.000,5.983,-2.161,8.144,.000,-.502,4.325,2,"02","ROSSNER, LAWRENCE F.","GO TO ZOO"
2,20,2,2,1.965,.034,.190,.035,5.983,1.747,4.236,-.036,3.866,3.864,2,"02","ROSSNER, LAWRENCE F.","WATCH BUGS"
2,21,2,2,1.998,.002,.043,.002,5.983,-.804,6.787,-.002,.997,4.182,2,"02","ROSSNER, LAWRENCE F.","WATCH BIRD MAKE NEST"
2,22,2,2,1.995,.005,.074,.005,5.983,-.009,5.992,-.005,2.003,3.970,2,"02","ROSSNER, LAWRENCE F.","FIND OUT WHAT ANIMALS EAT"
2,23,2,2,1.972,.028,.169,.028,5.983,1.947,4.036,-.028,3.739,4.191,2,"02","ROSSNER, LAWRENCE F.","WATCH A RAT"
2,24,2,2,1.997,.003,.055,.003,5.983,-.320,6.303,-.003,1.496,4.166,2,"02","ROSSNER, LAWRENCE F.","FIND OUT WHAT FLOWERS LIVE ON"
2,25,2,2,1.991,.009,.093,.009,5.983,.421,5.562,-.009,2.457,3.948,2,"02","ROSSNER, LAWRENCE F.","TALK W/FRIENDS ABOUT PLANTS"
3,1,2,2,1.540,.274,.879,.460,.992,-.892,1.884,-.593,1.879,-1.778,2,"02","ROSSNER, TOBY G.","WATCH BIRDS"
3,2,2,2,1.732,.258,.528,.268,.992,-.611,1.603,-.271,1.065,-.683,2,"02","ROSSNER, TOBY G.","READ BOOKS ON ANIMALS"
3,3,1,1,1.276,.374,-.451,-.276,.992,.279,.714,-.599,.279,.992,1,"01","ROSSNER, TOBY G.","READ BOOKS ON PLANTS"
3,4,1,1,.718,.342,.483,.282,.992,1.802,-.810,-.547,1.802,.992,1,"01","ROSSNER, TOBY G.","WATCH GRASS CHANGE"
3,5,0,0,.435,.359,-.725,-.435,.992,2.189,-1.196,-.475,.357,2.824,0,"00","ROSSNER, TOBY G.","FIND BOTTLES AND CANS"
3,6,1,1,1.325,.372,-.532,-.325,.992,.164,.829,-.649,.164,.992,1,"01","ROSSNER, TOBY G.","LOOK UP STRANGE ANIMAL OR PLANT"
3,7,1,1,.999,.464,.001,.001,.992,.994,-.002,-.624,.994,.992,1,"01","ROSSNER, TOBY G.","WATCH ANIMAL MOVE"
3,8,0,0,.746,.381,-1.208,-.746,.992,1.641,-.649,-1.049,-.641,3.274,1,"00","ROSSNER, TOBY G.","LOOK IN SIDEWALK CRACKS"
3,9,1,1,1.201,.497,-.285,-.201,.992,.600,.393,-.770,.600,.992,1,"01","ROSSNER, TOBY G.","LEARN WEED NAMES"
3,10,2,2,1.842,.143,.418,.158,.992,-1.570,2.562,-.166,.473,-1.051,2,"02","ROSSNER, TOBY G.","LISTEN TO BIRD SING"
3,11,2,2,1.721,.214,.604,.279,.992,-1.372,2.364,-.319,1.135,-1.515,2,"02","ROSSNER, TOBY G.","FIND WHERE ANIMAL LIVES"
3,12,2,2,1.894,.095,.344,.106,.992,-1.139,2.131,-.112,-.041,-.106,2,"02","ROSSNER, TOBY G.","GO TO MUSEUM"
3,13,2,2,1.872,.153,.329,.128,.992,-.896,1.888,-.114,.437,-.341,2,"02","ROSSNER, TOBY G.","GROW GARDEN"
3,14,1,1,1.289,.395,-.459,-.289,.992,.294,.699,-.651,.294,.992,1,"01","ROSSNER, TOBY G.","LOOK AT PICTURES OF PLANTS"
3,15,2,2,1.635,.292,.676,.365,.992,-.559,1.551,-.408,1.448,-1.015,2,"02","ROSSNER, TOBY G.","READ ANIMAL STORIES"
3,16,2,2,1.187,.354,1.366,.813,.992,.468,.524,-1.245,2.899,-1.438,1,"02","ROSSNER, TOBY G.","MAKE A MAP"
3,17,1,1,1.406,.385,-.654,-.406,.992,.045,.947,-.799,.045,.992,2,"01","ROSSNER, TOBY G.","WATCH WHAT ANIMALS EAT"
3,18,2,2,1.976,.026,.147,.024,.992,-2.256,3.248,-.022,-.979,-.285,2,"02","ROSSNER, TOBY G.","GO ON PICNIC"
3,19,2,2,1.944,.057,.236,.056,.992,-2.161,3.153,-.056,-.502,-.666,2,"02","ROSSNER, TOBY G.","GO TO ZOO"
3,20,1,1,.675,.404,.512,.325,.992,1.747,-.754,-.713,1.747,.992,1,"01","ROSSNER, TOBY G.","WATCH BUGS"
3,21,2,2,1.749,.230,.523,.251,.992,-.804,1.796,-.261,.997,-.809,2,"02","ROSSNER, TOBY G.","WATCH BIRD MAKE NEST"
3,22,1,1,1.447,.386,-.718,-.447,.992,-.009,1.002,-.882,-.009,.992,2,"01","ROSSNER, TOBY G.","FIND OUT WHAT ANIMALS EAT"
3,23,1,1,.519,.417,.745,.481,.992,1.947,-.954,-1.047,1.947,.992,0,"01","ROSSNER, TOBY G.","WATCH A RAT"
3,24,1,1,1.609,.333,-1.056,-.609,.992,-.320,1.313,-1.219,-.320,.992,2,"01","ROSSNER, TOBY G.","FIND OUT WHAT FLOWERS LIVE ON"
3,25,1,1,1.263,.440,-.396,-.263,.992,.421,.571,-.712,.421,.992,1,"01","ROSSNER, TOBY G.","TALK W/FRIENDS ABOUT PLANTS"
4,1,1,1,1.294,.293,-.543,-.294,.140,-.892,1.032,-.477,-.892,.140,1,"01","ROSSNER, MICHAEL T.","WATCH BIRDS"
4,2,0,0,1.419,.483,-2.040,-1.419,.140,-.611,.751,-2.120,-2.286,1.815,2,"00","ROSSNER, MICHAEL T.","READ BOOKS ON ANIMALS"
4,3,1,1,.946,.393,.087,.054,.140,.279,-.139,-.504,.279,.140,1,"01","ROSSNER, MICHAEL T.","READ BOOKS ON PLANTS"
4,4,0,0,.445,.288,-.829,-.445,.140,1.802,-1.662,-.552,-.656,2.598,0,"00","ROSSNER, MICHAEL T.","WATCH GRASS CHANGE"
4,5,0,0,.205,.190,-.470,-.205,.140,2.189,-2.049,-.212,.357,1.972,0,"00","ROSSNER, MICHAEL T.","FIND BOTTLES AND CANS"
4,6,1,1,.991,.401,.015,.009,.140,.164,-.024,-.513,.164,.140,1,"01","ROSSNER, MICHAEL T.","LOOK UP STRANGE ANIMAL OR PLANT"
4,7,0,0,.622,.403,-.980,-.622,.140,.994,-.854,-.772,-1.063,2.196,0,"00","ROSSNER, MICHAEL T.","WATCH ANIMAL MOVE"
4,8,1,1,.449,.305,.998,.551,.140,1.641,-1.501,-.938,1.641,.140,0,"01","ROSSNER, MICHAEL T.","LOOK IN SIDEWALK CRACKS"
4,9,2,2,.766,.489,1.764,1.234,.140,.600,-.460,-1.864,2.492,-1.752,1,"02","ROSSNER, MICHAEL T.","LEARN WEED NAMES"
4,10,2,2,1.670,.266,.639,.330,.140,-1.570,1.710,-.367,.473,-1.903,2,"02","ROSSNER, MICHAEL T.","LISTEN TO BIRD SING"
4,11,1,1,1.499,.301,-.909,-.499,.140,-1.372,1.512,-.798,-1.372,.140,2,"01","ROSSNER, MICHAEL T.","FIND WHERE ANIMAL LIVES"
4,12,2,2,1.782,.170,.528,.218,.140,-1.139,1.279,-.246,-.041,-.959,2,"02","ROSSNER, MICHAEL T.","GO TO MUSEUM"
4,13,2,2,1.644,.415,.552,.356,.140,-.896,1.036,-.305,.437,-1.193,2,"02","ROSSNER, MICHAEL T.","GROW GARDEN"
4,14,1,1,.935,.421,.100,.065,.140,.294,-.154,-.554,.294,.140,1,"01","ROSSNER, MICHAEL T.","LOOK AT PICTURES OF PLANTS"
4,15,1,1,1.324,.432,-.493,-.324,.140,-.559,.699,-.769,-.559,.140,1,"01","ROSSNER, MICHAEL T.","READ ANIMAL STORIES"
4,16,1,1,.883,.357,.197,.117,.140,.468,-.328,-.463,.468,.140,1,"01","ROSSNER, MICHAEL T.","MAKE A MAP"
4,17,1,1,1.043,.451,-.064,-.043,.140,.045,.095,-.603,.045,.140,1,"01","ROSSNER, MICHAEL T.","WATCH WHAT ANIMALS EAT"
4,18,2,2,1.937,.074,.230,.063,.140,-2.256,2.396,-.056,-.979,-1.137,2,"02","ROSSNER, MICHAEL T.","GO ON PICNIC"
4,19,2,2,1.868,.132,.364,.132,.140,-2.161,2.300,-.132,-.502,-1.518,2,"02","ROSSNER, MICHAEL T.","GO TO ZOO"
4,20,0,0,.377,.287,-.704,-.377,.140,1.747,-1.607,-.432,-.373,2.259,0,"00","ROSSNER, MICHAEL T.","WATCH BUGS"
4,21,2,2,1.475,.419,.811,.525,.140,-.804,.944,-.581,.997,-1.661,2,"02","ROSSNER, MICHAEL T.","WATCH BIRD MAKE NEST"
4,22,1,1,1.071,.476,-.103,-.071,.140,-.009,.149,-.656,-.009,.140,1,"01","ROSSNER, MICHAEL T.","FIND OUT WHAT ANIMALS EAT"
4,23,1,1,.247,.228,1.579,.753,.140,1.947,-1.807,-1.585,1.947,.140,0,"01","ROSSNER, MICHAEL T.","WATCH A RAT"
4,24,1,1,1.245,.510,-.344,-.245,.140,-.320,.460,-.844,-.320,.140,1,"01","ROSSNER, MICHAEL T.","FIND OUT WHAT FLOWERS LIVE ON"
4,25,1,1,.868,.463,.194,.132,.140,.421,-.281,-.655,.421,.140,1,"01","ROSSNER, MICHAEL T.","TALK W/FRIENDS ABOUT PLANTS"
5,1,1,1,1.033,.279,-.062,-.033,-.774,-.892,.117,-.329,-.892,-.774,1,"01","ROSSNER, REBECCA A.","WATCH BIRDS"
5,2,0,0,.902,.592,-1.173,-.902,-.774,-.611,-.164,-1.051,-2.286,.901,1,"00","ROSSNER, REBECCA A.","READ BOOKS ON ANIMALS"
5,3,1,1,.600,.351,.675,.400,-.774,.279,-1.053,-.714,.279,-.774,1,"01","ROSSNER, REBECCA A.","READ BOOKS ON PLANTS"
5,4,0,0,.227,.185,-.529,-.227,-.774,1.802,-2.576,-.252,-.656,1.684,0,"00","ROSSNER, REBECCA A.","WATCH GRASS CHANGE"
5,5,1,1,.086,.083,3.167,.914,-.774,2.189,-2.963,-2.515,2.189,-.774,0,"01","ROSSNER, REBECCA A.","FIND BOTTLES AND CANS"
5,6,0,0,.635,.364,-1.053,-.635,-.774,.164,-.938,-.842,-2.106,1.495,1,"00","ROSSNER, REBECCA A.","LOOK UP STRANGE ANIMAL OR PLANT"
5,7,1,1,.318,.258,1.344,.682,-.774,.994,-1.768,-1.285,.994,-.774,0,"01","ROSSNER, REBECCA A.","WATCH ANIMAL MOVE"
5,8,0,0,.224,.186,-.519,-.224,-.774,1.641,-2.415,-.246,-.641,1.508,0,"00","ROSSNER, REBECCA A.","LOOK IN SIDEWALK CRACKS"
5,9,0,0,.390,.321,-.688,-.390,-.774,.600,-1.374,-.428,-1.293,1.118,0,"00","ROSSNER, REBECCA A.","LEARN WEED NAMES"
5,10,1,1,1.357,.413,-.556,-.357,-.774,-1.570,.795,-.777,-1.570,-.774,1,"01","ROSSNER, REBECCA A.","LISTEN TO BIRD SING"
5,11,1,1,1.202,.337,-.349,-.202,-.774,-1.372,.598,-.475,-1.372,-.774,1,"01","ROSSNER, REBECCA A.","FIND WHERE ANIMAL LIVES"
5,12,1,1,1.590,.242,-1.200,-.590,-.774,-1.139,.365,-.892,-2.238,.324,2,"01","ROSSNER, REBECCA A.","GO TO MUSEUM"
5,13,1,1,1.092,.748,-.106,-.092,-.774,-.896,.122,-1.412,-.896,-.774,2,"01","ROSSNER, REBECCA A.","GROW GARDEN"
5,14,0,0,.571,.360,-.953,-.571,-.774,.294,-1.068,-.722,-1.901,1.421,0,"00","ROSSNER, REBECCA A.","LOOK AT PICTURES OF PLANTS"
5,15,0,0,.897,.475,-1.301,-.897,-.774,-.559,-.215,-1.223,-2.566,1.233,1,"00","ROSSNER, REBECCA A.","READ ANIMAL STORIES"
5,16,1,1,.567,.324,.760,.433,-.774,.468,-1.243,-.717,.468,-.774,1,"01","ROSSNER, REBECCA A.","MAKE A MAP"
5,17,1,1,.644,.401,.563,.356,-.774,.045,-.820,-.750,.045,-.774,1,"01","ROSSNER, REBECCA A.","WATCH WHAT ANIMALS EAT"
5,18,2,2,1.807,.244,.391,.193,-.774,-2.256,1.482,-.162,-.979,-2.052,2,"02","ROSSNER, REBECCA A.","GO ON PICNIC"
5,19,2,2,1.675,.309,.584,.325,-.774,-2.161,1.386,-.329,-.502,-2.433,2,"02","ROSSNER, REBECCA A.","GO TO ZOO"
5,20,1,1,.177,.156,2.082,.823,-.774,1.747,-2.521,-1.795,1.747,-.774,0,"01","ROSSNER, REBECCA A.","WATCH BUGS"
5,21,1,1,1.016,.550,-.022,-.016,-.774,-.804,.030,-.800,-.804,-.774,1,"01","ROSSNER, REBECCA A.","WATCH BIRD MAKE NEST"
5,22,1,1,.649,.422,.540,.351,-.774,-.009,-.765,-.787,-.009,-.774,1,"01","ROSSNER, REBECCA A.","FIND OUT WHAT ANIMALS EAT"
5,23,1,1,.103,.100,2.828,.897,-.774,1.947,-2.721,-2.348,1.947,-.774,0,"01","ROSSNER, REBECCA A.","WATCH A RAT"
5,24,1,1,.758,.511,.339,.242,-.774,-.320,-.454,-.842,-.320,-.774,1,"01","ROSSNER, REBECCA A.","FIND OUT WHAT FLOWERS LIVE ON"
5,25,0,0,.487,.353,-.820,-.487,-.774,.421,-1.196,-.572,-1.614,1.261,0,"00","ROSSNER, REBECCA A.","TALK W/FRIENDS ABOUT PLANTS"
6,1,1,1,1.194,.287,-.362,-.194,-.203,-.892,.689,-.393,-.892,-.203,1,"01","ROSSNER, TR CAT","WATCH BIRDS"
6,2,0,0,1.239,.560,-1.655,-1.239,-.203,-.611,.408,-1.664,-2.286,1.472,2,"00","ROSSNER, TR CAT","READ BOOKS ON ANIMALS"
6,3,1,1,.812,.385,.303,.188,-.203,.279,-.481,-.545,.279,-.203,1,"01","ROSSNER, TR CAT","READ BOOKS ON PLANTS"
6,4,1,1,.352,.252,1.290,.648,-.203,1.802,-2.005,-1.114,1.802,-.203,0,"01","ROSSNER, TR CAT","WATCH GRASS CHANGE"
6,5,2,2,.149,.141,4.933,1.851,-.203,2.189,-2.391,-4.935,4.020,-2.034,0,"02","ROSSNER, TR CAT","FIND BOTTLES AND CANS"
6,6,1,1,.854,.396,.233,.146,-.203,.164,-.366,-.540,.164,-.203,1,"01","ROSSNER, TR CAT","LOOK UP STRANGE ANIMAL OR PLANT"
6,7,1,1,.492,.352,.856,.508,-.203,.994,-1.197,-.942,.994,-.203,0,"01","ROSSNER, TR CAT","WATCH ANIMAL MOVE"
6,8,0,0,.352,.261,-.688,-.352,-.203,1.641,-1.844,-.408,-.641,2.079,0,"00","ROSSNER, TR CAT","LOOK IN SIDEWALK CRACKS"
6,9,1,1,.607,.436,.595,.393,-.203,.600,-.802,-.892,.600,-.203,0,"01","ROSSNER, TR CAT","LEARN WEED NAMES"
6,10,1,1,1.569,.324,-.999,-.569,-.203,-1.570,1.367,-1.044,-1.570,-.203,2,"01","ROSSNER, TR CAT","LISTEN TO BIRD SING"
6,11,1,1,1.392,.322,-.690,-.392,-.203,-1.372,1.169,-.645,-1.372,-.203,1,"01","ROSSNER, TR CAT","FIND WHERE ANIMAL LIVES"
6,12,2,2,1.718,.202,.626,.282,-.203,-1.139,.936,-.331,-.041,-1.302,2,"02","ROSSNER, TR CAT","GO TO MUSEUM"
6,13,1,1,1.476,.567,-.633,-.476,-.203,-.896,.693,-1.579,-.896,-.203,2,"01","ROSSNER, TR CAT","GROW GARDEN"
6,14,0,0,.793,.409,-1.240,-.793,-.203,.294,-.496,-1.110,-1.901,1.992,1,"00","ROSSNER, TR CAT","LOOK AT PICTURES OF PLANTS"
6,15,1,1,1.169,.467,-.248,-.169,-.203,-.559,.356,-.684,-.559,-.203,1,"01","ROSSNER, TR CAT","READ ANIMAL STORIES"
6,16,0,0,.761,.351,-1.285,-.761,-.203,.468,-.671,-1.129,-1.962,2.227,1,"00","ROSSNER, TR CAT","MAKE A MAP"
6,17,1,1,.888,.447,.167,.112,-.203,.045,-.248,-.615,.045,-.203,1,"01","ROSSNER, TR CAT","WATCH WHAT ANIMALS EAT"
6,18,2,2,1.905,.116,.278,.095,-.203,-2.256,2.053,-.083,-.979,-1.480,2,"02","ROSSNER, TR CAT","GO ON PICNIC"
6,19,2,2,1.814,.185,.433,.186,-.203,-2.161,1.958,-.186,-.502,-1.861,2,"02","ROSSNER, TR CAT","GO TO ZOO"
6,20,1,1,.288,.234,1.471,.712,-.203,1.747,-1.949,-1.354,1.747,-.203,0,"01","ROSSNER, TR CAT","WATCH BUGS"
6,21,0,0,1.318,.491,-1.882,-1.318,-.203,-.804,.601,-1.989,-2.605,1.598,2,"00","ROSSNER, TR CAT","WATCH BIRD MAKE NEST"
6,22,1,1,.908,.474,.134,.092,-.203,-.009,-.194,-.659,-.009,-.203,1,"01","ROSSNER, TR CAT","FIND OUT WHAT ANIMALS EAT"
6,23,2,2,.179,.170,4.422,1.821,-.203,1.947,-2.149,-4.483,3.739,-1.995,0,"02","ROSSNER, TR CAT","WATCH A RAT"
6,24,1,1,1.064,.542,-.087,-.064,-.203,-.320,.118,-.790,-.320,-.203,1,"01","ROSSNER, TR CAT","FIND OUT WHAT FLOWERS LIVE ON"
6,25,0,0,.714,.435,-1.082,-.714,-.203,.421,-.624,-.913,-1.614,1.833,1,"00","ROSSNER, TR CAT","TALK W/FRIENDS ABOUT PLANTS"
7,1,2,2,1.866,.118,.391,.134,2.629,-.892,3.520,-.143,1.879,-.141,2,"02","WRIGHT, BENJAMIN","WATCH BIRDS"
7,2,2,2,1.947,.053,.230,.053,2.629,-.611,3.240,-.053,1.065,.953,2,"02","WRIGHT, BENJAMIN","READ BOOKS ON ANIMALS"
7,3,2,2,1.760,.196,.541,.240,2.629,.279,2.350,-.265,2.577,.330,2,"02","WRIGHT, BENJAMIN","READ BOOKS ON PLANTS"
7,4,0,0,1.288,.341,-2.205,-1.288,2.629,1.802,.827,-2.686,-.656,5.087,1,"00","WRIGHT, BENJAMIN","WATCH GRASS CHANGE"
7,5,0,0,1.233,.508,-1.729,-1.233,2.629,2.189,.440,-1.802,.357,4.460,1,"00","WRIGHT, BENJAMIN","FIND BOTTLES AND CANS"
7,6,2,2,1.787,.179,.503,.213,2.629,.164,2.465,-.232,2.433,.359,2,"02","WRIGHT, BENJAMIN","LOOK UP STRANGE ANIMAL OR PLANT"
7,7,2,2,1.647,.280,.668,.353,2.629,.994,1.635,-.397,3.050,.572,2,"02","WRIGHT, BENJAMIN","WATCH ANIMAL MOVE"
7,8,2,2,1.380,.358,1.036,.620,2.629,1.641,.988,-.818,3.923,.347,1,"02","WRIGHT, BENJAMIN","LOOK IN SIDEWALK CRACKS"
7,9,0,0,1.779,.200,-3.982,-1.779,2.629,.600,2.029,-4.291,-1.293,4.521,2,"00","WRIGHT, BENJAMIN","LEARN WEED NAMES"
7,10,2,2,1.967,.033,.185,.033,2.629,-1.570,4.199,-.034,.473,.586,2,"02","WRIGHT, BENJAMIN","LISTEN TO BIRD SING"
7,11,2,2,1.933,.063,.267,.067,2.629,-1.372,4.001,-.069,1.135,.122,2,"02","WRIGHT, BENJAMIN","FIND WHERE ANIMAL LIVES"
7,12,2,2,1.977,.022,.152,.023,2.629,-1.139,3.768,-.023,-.041,1.530,2,"02","WRIGHT, BENJAMIN","GO TO MUSEUM"
7,13,2,2,1.980,.022,.139,.020,2.629,-.896,3.525,-.020,.437,1.296,2,"02","WRIGHT, BENJAMIN","GROW GARDEN"
7,14,2,2,1.778,.188,.513,.222,2.629,.294,2.335,-.242,2.489,.434,2,"02","WRIGHT, BENJAMIN","LOOK AT PICTURES OF PLANTS"
7,15,2,2,1.915,.081,.299,.085,2.629,-.559,3.188,-.087,1.448,.622,2,"02","WRIGHT, BENJAMIN","READ ANIMAL STORIES"
7,16,2,2,1.692,.232,.640,.308,2.629,.468,2.161,-.355,2.899,.199,2,"02","WRIGHT, BENJAMIN","MAKE A MAP"
7,17,2,2,1.836,.146,.428,.164,2.629,.045,2.583,-.173,2.142,.532,2,"02","WRIGHT, BENJAMIN","WATCH WHAT ANIMALS EAT"
7,18,2,2,1.996,.004,.064,.004,2.629,-2.256,4.885,-.004,-.979,1.351,2,"02","WRIGHT, BENJAMIN","GO ON PICNIC"
